Quarter,Year,Account_ID,Account_Name,Vertical,NPS_Score,NRR_Pct,Time_to_Value_Days,SmartERP_Active,Contract_ARR_USD,Renewal_Due_Quarter,Renewal_Due_Year,SP500_Top10,Account_Status
Q4,2024,ACC008,Vertex Media Group,Telecom & Media,68,111,43,Yes,300000,Q4,2025,No,Healthy
Q1,2025,ACC001,Apex Financial Group,Financial Services,69,114,39,Yes,600000,Q1,2026,Yes,Healthy
Q1,2025,ACC002,CloudCore Technologies,Technology & Cloud,72,116,34,Yes,760000,Q2,2026,Yes,Healthy
Q1,2025,ACC003,Meridian Telecom,Telecom & Media,58,103,58,Yes,320000,Q3,2026,No,Improving
Q1,2025,ACC004,HealthFirst Systems,Healthcare,66,111,48,Yes,295000,Q4,2026,No,Healthy
Q1,2025,ACC005,Precision OEM Corp,Manufacturing & OEM,62,107,55,Yes,210000,Q1,2027,No,Healthy
Q1,2025,ACC006,Global Trust Bank,Financial Services,76,119,30,Yes,1050000,Q2,2026,Yes,Healthy
Q1,2025,ACC007,NexGen Cloud,Technology & Cloud,72,115,35,Yes,680000,Q3,2026,Yes,Healthy
Q1,2025,ACC008,Vertex Media Group,Telecom & Media,69,112,41,Yes,315000,Q4,2026,No,Healthy
Q1,2025,ACC009,BioSync Life Sciences,Healthcare,61,104,56,Yes,180000,Q1,2027,No,Improving
Q2,2025,ACC001,Apex Financial Group,Financial Services,71,117,37,Yes,635000,Q1,2026,Yes,Healthy
Q2,2025,ACC002,CloudCore Technologies,Technology & Cloud,73,118,33,Yes,800000,Q2,2026,Yes,Healthy
Q2,2025,ACC003,Meridian Telecom,Telecom & Media,61,106,54,Yes,335000,Q3,2026,No,Improving
Q2,2025,ACC004,HealthFirst Systems,Healthcare,68,113,45,Yes,315000,Q4,2026,No,Healthy
Q2,2025,ACC005,Precision OEM Corp,Manufacturing & OEM,64,109,52,Yes,225000,Q1,2027,No,Healthy
Q2,2025,ACC006,Global Trust Bank,Financial Services,77,121,28,Yes,1110000,Q2,2026,Yes,Healthy
Q2,2025,ACC007,NexGen Cloud,Technology & Cloud,74,117,33,Yes,720000,Q3,2026,Yes,Healthy
Q2,2025,ACC008,Vertex Media Group,Telecom & Media,70,114,40,Yes,330000,Q4,2026,No,Healthy
Q2,2025,ACC009,BioSync Life Sciences,Healthcare,65,108,50,Yes,200000,Q1,2027,No,Healthy
